crop,year,season,state,area,production,fertilizer,pesticide,yield
Ginger,2004,Whole Year ,Kerala,9991,45305,1082424.94,2098.11,3.022857143
Groundnut,2004,Kharif     ,Kerala,1346,996,145825.64,282.66,0.74
Jowar,2004,Kharif     ,Kerala,2566,1309,278000.44,538.86,0.505
Other Cereals,2004,Kharif     ,Kerala,955,746,103464.7,200.55,0.8475
Ragi,2004,Kharif     ,Kerala,1383,1119,149834.22,290.43,0.782
Rice,2004,Autumn     ,Kerala,105349,241824,11413510.66,22123.29,2.271538462
Rice,2004,Summer     ,Kerala,35732,89752,3871204.88,7503.72,2.256923077
Rice,2004,Winter     ,Kerala,148893,335529,16131067.62,31267.53,2.175714286
Sesamum,2004,Kharif     ,Kerala,883,260,95664.22,185.43,0.228333333
Sugarcane,2004,Whole Year ,Kerala,1921,154300,208121.14,403.41,82.35153846
Sweet potato,2004,Whole Year ,Kerala,836,10013,90572.24,175.56,11.52769231
Tapioca,2004,Whole Year ,Kerala,88486,2400043,9586573.24,18582.06,28.10571429
Tobacco,2004,Whole Year ,Kerala,40,223,4333.6,8.4,5.58
Turmeric,2004,Whole Year ,Kerala,2881,6244,312127.54,605.01,2.025
Arecanut,2004,Whole Year ,Meghalaya,11233,14169,1216983.22,2358.93,1.154285714
Arhar/Tur,2004,Kharif     ,Meghalaya,804,633,87105.36,168.84,0.806666667
Banana,2004,Whole Year ,Meghalaya,6276,67838,679941.84,1317.96,10.06571429
Black pepper,2004,Whole Year ,Meghalaya,895,578,96964.3,187.95,0.8
Castor seed,2004,Kharif     ,Meghalaya,32,20,3466.88,6.72,0.693333333
Coriander,2004,Whole Year ,Meghalaya,53,306,5742.02,11.13,5.4925
Cotton(lint),2004,Kharif     ,Meghalaya,7231,7765,783406.54,1518.51,1.046666667
Dry chillies,2004,Whole Year ,Meghalaya,1844,1303,199778.96,387.24,0.844285714
Garlic,2004,Whole Year ,Meghalaya,365,1139,39544.1,76.65,1.79
Ginger,2004,Kharif     ,Meghalaya,9222,47138,999111.48,1936.62,6.122857143
Gram,2004,Rabi       ,Meghalaya,519,324,56228.46,108.99,0.586666667
Jute,2004,Kharif     ,Meghalaya,4019,20153,435418.46,843.99,4.8
Linseed,2004,Rabi       ,Meghalaya,75,35,8125.5,15.75,0.47
Maize,2004,Kharif     ,Meghalaya,16875,24000,1828237.5,3543.75,1.465714286
Mesta,2004,Kharif     ,Meghalaya,4195,19018,454486.3,880.95,4.543333333
Other  Rabi pulses,2004,Rabi       ,Meghalaya,2103,1645,227839.02,441.63,0.76
Potato,2004,Whole Year ,Meghalaya,17287,141622,1872873.58,3630.27,7.178571429
Rapeseed &Mustard,2004,Rabi       ,Meghalaya,7222,4797,782431.48,1516.62,0.64
Rice,2004,Autumn     ,Meghalaya,32667,37766,3539142.78,6860.07,1.492857143
Rice,2004,Summer     ,Meghalaya,9224,37439,999328.16,1937.04,2.078333333
Rice,2004,Winter     ,Meghalaya,69659,118514,7546856.06,14628.39,1.792857143
Sesamum,2004,Kharif     ,Meghalaya,1628,860,176377.52,341.88,0.548333333
Small millets,2004,Kharif     ,Meghalaya,2652,2241,287317.68,556.92,0.957142857
Soyabean,2004,Kharif     ,Meghalaya,967,935,104764.78,203.07,0.915714286
Sugarcane,2004,Whole Year ,Meghalaya,84,225,9100.56,17.64,2.264
Sweet potato,2004,Kharif     ,Meghalaya,4974,16172,538883.16,1044.54,3.352857143
Sweet potato,2004,Whole Year ,Meghalaya,4974,16172,538883.16,1044.54,3.352857143
Tapioca,2004,Whole Year ,Meghalaya,3975,20644,430651.5,834.75,6.367142857
Tobacco,2004,Whole Year ,Meghalaya,729,479,78979.86,153.09,0.55
Turmeric,2004,Whole Year ,Meghalaya,1682,9016,182227.88,353.22,4.715714286
Wheat,2004,Rabi       ,Meghalaya,863,1564,93497.42,181.23,1.156666667
Arecanut,2004,Whole Year ,Tamil Nadu,5077,7390,550042.18,1066.17,1.55
Arhar/Tur,2004,Kharif     ,Tamil Nadu,43416,28979,4703689.44,9117.36,0.6684
Bajra,2004,Kharif     ,Tamil Nadu,97608,124300,10574850.72,20497.68,1.408846154
Banana,2004,Whole Year ,Tamil Nadu,81498,3461788,8829493.32,17114.58,41.73931034
Cardamom,2004,Whole Year ,Tamil Nadu,4936,450,534766.24,1036.56,0.071818182
Cashewnut,2004,Whole Year ,Tamil Nadu,104659,44497,11338756.06,21978.39,0.34037037
Castor seed,2004,Kharif     ,Tamil Nadu,8269,2598,895863.46,1736.49,0.3392
Coconut ,2004,Whole Year ,Tamil Nadu,357056,4097000000,38683447.04,74981.76,10877.70276
Coriander,2004,Whole Year ,Tamil Nadu,19350,8391,2096379,4063.5,0.4236
Cotton(lint),2004,Kharif     ,Tamil Nadu,129364,185960,14015295.76,27166.44,1.571153846
Dry chillies,2004,Whole Year ,Tamil Nadu,66990,44631,7257696.6,14067.9,0.761724138
Garlic,2004,Whole Year ,Tamil Nadu,443,2632,47994.62,93.03,5.854
Ginger,2004,Kharif     ,Tamil Nadu,574,11076,62187.16,120.54,19.255
Gram,2004,Rabi       ,Tamil Nadu,6420,3942,695542.8,1348.2,0.545
Groundnut,2004,Kharif     ,Tamil Nadu,615877,1005342,66724114.18,129334.17,1.790714286
Horse-gram,2004,Kharif     ,Tamil Nadu,67513,20110,7314358.42,14177.73,0.3068
Jowar,2004,Kharif     ,Tamil Nadu,376739,252063,40815903.26,79115.19,0.825
Maize,2004,Kharif     ,Tamil Nadu,189893,294717,20573007.62,39877.53,1.758846154
Moong(Green Gram),2004,Kharif     ,Tamil Nadu,154959,61760,16788258.06,32541.39,0.417777778
Niger seed,2004,Kharif     ,Tamil Nadu,1239,0,134233.26,260.19,0
Onion,2004,Whole Year ,Tamil Nadu,26491,256359,2870034.94,5563.11,9.490357143
Other Kharif pulses,2004,Kharif     ,Tamil Nadu,91578,18642,9921560.52,19231.38,0.201071429
Potato,2004,Whole Year ,Tamil Nadu,5034,79060,545383.56,1057.14,16.0325
Ragi,2004,Kharif     ,Tamil Nadu,108845,154085,11792267.3,22857.45,1.742307692
Rapeseed &Mustard,2004,Rabi       ,Tamil Nadu,452,109,48969.68,94.92,0.25
Rice,2004,Kharif     ,Tamil Nadu,1872822,5061622,202901535.5,393292.62,3.015172414
Sesamum,2004,Kharif     ,Tamil Nadu,72725,33840,7879026.5,15272.25,0.397857143
Small millets,2004,Kharif     ,Tamil Nadu,50576,42869,5479403.84,10620.96,0.8724
Sugarcane,2004,Whole Year ,Tamil Nadu,222188,24457244,24071847.92,46659.48,104.66
Sunflower,2004,Kharif     ,Tamil Nadu,18152,19303,1966587.68,3811.92,1.002962963
Sweet potato,2004,Whole Year ,Tamil Nadu,1397,21118,151350.98,293.37,14.9992
Tapioca,2004,Whole Year ,Tamil Nadu,110589,4563776,11981212.26,23223.69,41.5525
Turmeric,2004,Whole Year ,Tamil Nadu,21616,118447,2341877.44,4539.36,5.096071429
Urad,2004,Kharif     ,Tamil Nadu,226364,82998,24524275.76,47536.44,0.4075
Arecanut,2005,Whole Year ,Andhra Pradesh,293,234,35136.56,61.53,0.8025
Arhar/Tur,2005,Kharif     ,Andhra Pradesh,494523,300636,59303198.16,103849.83,0.554545455
Bajra,2005,Kharif     ,Andhra Pradesh,68884,72401,8260569.28,14465.64,0.941666667
Bajra,2005,Rabi       ,Andhra Pradesh,12107,9751,1451871.44,2542.47,0.952307692
Banana,2005,Whole Year ,Andhra Pradesh,45642,935517,5473388.64,9584.82,23.9085
Cashewnut,2005,Whole Year ,Andhra Pradesh,148372,40153,17792770.24,31158.12,0.285882353
Castor seed,2005,Kharif     ,Andhra Pradesh,344587,140019,41322873.04,72363.27,0.462777778
Coconut ,2005,Whole Year ,Andhra Pradesh,104438,891991928,12524204.96,21931.98,7717.767778
Coriander,2005,Whole Year ,Andhra Pradesh,28114,12725,3371430.88,5903.94,0.503333333
Cotton(lint),2005,Kharif     ,Andhra Pradesh,1032629,2107984,123832869.7,216852.09,1.727272727
Dry chillies,2005,Kharif     ,Andhra Pradesh,127631,417095,15305509.52,26802.51,2.937272727
Dry chillies,2005,Rabi       ,Andhra Pradesh,43815,120617,5254294.8,9201.15,2.799090909
Garlic,2005,Whole Year ,Andhra Pradesh,800,0,95936,168,0
Ginger,2005,Whole Year ,Andhra Pradesh,2161,16456,259147.12,453.81,5.812222222
Gram,2005,Rabi       ,Andhra Pradesh,394443,626974,47301604.56,82833.03,1.602631579
Groundnut,2005,Kharif     ,Andhra Pradesh,1614668,912020,193630986.6,339080.28,1.069545455
Groundnut,2005,Rabi       ,Andhra Pradesh,260876,453797,31284249.92,54783.96,1.975
Horse-gram,2005,Kharif     ,Andhra Pradesh,9919,4917,1189486.48,2082.99,0.43
Horse-gram,2005,Rabi       ,Andhra Pradesh,46703,16110,5600623.76,9807.63,0.32
Jowar,2005,Kharif     ,Andhra Pradesh,182851,280035,21927491.92,38398.71,0.996818182
Jowar,2005,Rabi       ,Andhra Pradesh,261245,307992,31328500.4,54861.45,1.799090909
Linseed,2005,Rabi       ,Andhra Pradesh,3845,1435,461092.4,807.45,0.371666667
Maize,2005,Kharif     ,Andhra Pradesh,593135,2098190,71128749.2,124558.35,3.803636364
Maize,2005,Rabi       ,Andhra Pradesh,164827,988711,19766053.84,34613.67,6.032272727
Mesta,2005,Kharif     ,Andhra Pradesh,49827,455487,5975253.84,10463.67,8.926666667
Moong(Green Gram),2005,Kharif     ,Andhra Pradesh,251959,122697,30214923.28,52911.39,0.582272727
Moong(Green Gram),2005,Rabi       ,Andhra Pradesh,132963,42623,15944922.96,27922.23,0.448333333
Niger seed,2005,Kharif     ,Andhra Pradesh,15748,6097,1888500.16,3307.08,0.465
Onion,2005,Kharif     ,Andhra Pradesh,20434,364201,2450445.28,4291.14,15.5455
Onion,2005,Rabi       ,Andhra Pradesh,15952,332092,1912963.84,3349.92,20.49047619
Other  Rabi pulses,2005,Rabi       ,Andhra Pradesh,16032,6755,1922557.44,3366.72,0.401666667
Other Kharif pulses,2005,Kharif     ,Andhra Pradesh,14585,3836,1749033.2,3062.85,0.274666667
Potato,2005,Whole Year ,Andhra Pradesh,3275,29564,392738,687.75,8.895
Ragi,2005,Kharif     ,Andhra Pradesh,56576,62947,6784593.92,11880.96,1.316428571
Ragi,2005,Rabi       ,Andhra Pradesh,9031,16398,1082997.52,1896.51,1.785384615
Rapeseed &Mustard,2005,Rabi       ,Andhra Pradesh,5660,2568,678747.2,1188.6,0.2825
Rice,2005,Kharif     ,Andhra Pradesh,2526108,6376990,302930871.4,530482.68,2.549090909
Rice,2005,Rabi       ,Andhra Pradesh,1455643,5326634,174560708.6,305685.03,3.132272727
Safflower,2005,Rabi       ,Andhra Pradesh,17654,8094,2117067.68,3707.34,0.415454545
Sesamum,2005,Kharif     ,Andhra Pradesh,79424,16278,9524526.08,16679.04,0.205714286
Sesamum,2005,Rabi       ,Andhra Pradesh,37284,12802,4471097.28,7829.64,0.360526316
Small millets,2005,Kharif     ,Andhra Pradesh,43674,26264,5237386.08,9171.54,0.6
Small millets,2005,Rabi       ,Andhra Pradesh,438,314,52524.96,91.98,0.855
Soyabean,2005,Kharif     ,Andhra Pradesh,97692,190937,11715224.64,20515.32,1.424166667
Sugarcane,2005,Whole Year ,Andhra Pradesh,229960,17656395,27576803.2,48291.6,83.59
Sunflower,2005,Whole Year ,Andhra Pradesh,444264,297556,53276138.88,93295.44,0.931363636
Sweet potato,2005,Whole Year ,Andhra Pradesh,1085,8726,130113.2,227.85,8.547777778
Tapioca,2005,Whole Year ,Andhra Pradesh,15281,125986,1832497.52,3209.01,7.2075
Tobacco,2005,Whole Year ,Andhra Pradesh,204328,716614,24503013.76,42908.88,4.374418605
Urad,2005,Kharif     ,Andhra Pradesh,79206,33844,9498383.52,16633.26,0.384761905
Urad,2005,Rabi       ,Andhra Pradesh,341832,216227,40992493.44,71784.72,0.621052632
Wheat,2005,Rabi       ,Andhra Pradesh,11109,8891,1332191.28,2332.89,0.774
Arecanut,2005,Whole Year ,Assam,71176,66778,8535425.92,14946.96,0.913478261
Arhar/Tur,2005,Kharif     ,Assam,6473,4529,776242.16,1359.33,0.704444444
Banana,2005,Whole Year ,Assam,41967,577713,5032682.64,8813.07,13.70555556
Castor seed,2005,Kharif     ,Assam,1364,577,163570.88,286.44,0.422
Coconut ,2005,Whole Year ,Assam,19057,204937000,2285315.44,4001.97,8486.539565
Cotton(lint),2005,Kharif     ,Assam,1352,632,162131.84,283.92,0.4172
Dry chillies,2005,Whole Year ,Assam,14688,9494,1761384.96,3084.48,0.637407407
Gram,2005,Rabi       ,Assam,2020,1036,242238.4,424.2,0.460769231
Jute,2005,Kharif     ,Assam,56757,578858,6806299.44,11918.97,10.28740741
Linseed,2005,Rabi       ,Assam,8172,4131,979986.24,1716.12,0.493076923
Maize,2005,Kharif     ,Assam,18969,13745,2274762.48,3983.49,0.635925926
Masoor,2005,Rabi       ,Assam,18583,9877,2228473.36,3902.43,0.5112
Mesta,2005,Kharif     ,Assam,4914,24678,589286.88,1031.94,4.650434783
Moong(Green Gram),2005,Rabi       ,Assam,7512,3428,900839.04,1577.52,0.44037037
Niger seed,2005,Kharif     ,Assam,7374,3787,884290.08,1548.54,0.529545455
Onion,2005,Whole Year ,Assam,7726,18291,926501.92,1622.46,2.373333333
Other  Rabi pulses,2005,Rabi       ,Assam,91945,49684,11026044.4,19308.45,0.533703704
Peas & beans (Pulses),2005,Rabi       ,Assam,17875,11309,2143570,3753.75,0.618518519
Potato,2005,Whole Year ,Assam,69638,353696,8350988.96,14623.98,5.326296296
Rapeseed &Mustard,2005,Rabi       ,Assam,212471,96992,25479522.32,44618.91,0.469259259
Rice,2005,Autumn     ,Assam,398316,398077,47766054.72,83646.36,1.132222222
Rice,2005,Summer     ,Assam,314671,559969,37735346.32,66080.91,1.637692308
Rice,2005,Winter     ,Assam,1707340,2594392,204744212.8,358541.4,1.502592593
Sesamum,2005,Kharif     ,Assam,13864,7702,1662570.88,2911.44,0.487777778
Small millets,2005,Kharif     ,Assam,7714,3947,925062.88,1619.94,0.504814815
Sugarcane,2005,Whole Year ,Assam,23426,871219,2809245.92,4919.46,37.99444444
Sweet potato,2005,Whole Year ,Assam,7269,25858,871698.48,1526.49,3.405555556
Tapioca,2005,Whole Year ,Assam,2777,13261,333017.84,583.17,4.458518519
Tobacco,2005,Whole Year ,Assam,657,351,78787.44,137.97,0.504074074
Turmeric,2005,Whole Year ,Assam,11611,8500,1392391.12,2438.31,0.728888889
Urad,2005,Rabi       ,Assam,35376,17331,4242289.92,7428.96,0.488888889
Wheat,2005,Rabi       ,Assam,49961,53735,5991323.12,10491.81,1.084230769
Arecanut,2005,Whole Year ,Karnataka,161151,1033658,19325227.92,33841.71,6.212380952
Arhar/Tur,2005,Kharif     ,Karnataka,599884,407832,71938089.28,125975.64,0.5968
Bajra,2005,Kharif     ,Karnataka,429889,389420,51552288.88,90276.69,0.80875
Bajra,2005,Rabi       ,Karnataka,78,104,9353.76,16.38,1.33
Bajra,2005,Summer     ,Karnataka,917,1089,109966.64,192.57,1.22
Banana,2005,Whole Year ,Karnataka,43562,517257,5223955.04,9148.02,15.48037037
Black pepper,2005,Whole Year ,Karnataka,14797,32414,1774456.24,3107.37,2.199230769
Cardamom,2005,Whole Year ,Karnataka,19814,1127,2376094.88,4160.94,0.05875
Castor seed,2005,Kharif     ,Karnataka,24981,25989,2995721.52,5246.01,1.086666667
Coconut ,2005,Whole Year ,Karnataka,395885,1606890000,47474529.2,83135.85,4165.660741
Coriander,2005,Whole Year ,Karnataka,9163,1398,1098826.96,1924.23,0.125714286
Cotton(lint),2005,Whole Year ,Karnataka,413310,585498,49564135.2,86795.1,1.503333333
Dry chillies,2005,Kharif     ,Karnataka,116047,84364,13916356.24,24369.87,0.830384615
Dry chillies,2005,Rabi       ,Karnataka,2911,4729,349087.12,611.31,1.676538462
Dry chillies,2005,Summer     ,Karnataka,6715,17719,805262.8,1410.15,2.696923077
Garlic,2005,Whole Year ,Karnataka,4931,3485,591325.52,1035.51,1.287333333
Ginger,2005,Whole Year ,Karnataka,21669,282411,2598546.48,4550.49,12.82411765
Gram,2005,Rabi       ,Karnataka,418369,237984,50170810.48,87857.49,0.522
Groundnut,2005,Kharif     ,Karnataka,867704,445749,104055063.7,182217.84,0.562
Groundnut,2005,Rabi       ,Karnataka,172368,150118,20670370.56,36197.28,0.9764
Horse-gram,2005,Kharif     ,Karnataka,124702,71145,14954263.84,26187.42,0.609166667
Horse-gram,2005,Rabi       ,Karnataka,144530,57634,17332037.6,30351.3,0.453461538
Jowar,2005,Kharif     ,Karnataka,323189,482196,38756824.88,67869.69,1.426190476
Jowar,2005,Rabi       ,Karnataka,1191240,986911,142853500.8,250160.4,0.714761905
Jowar,2005,Summer     ,Karnataka,5708,9669,684503.36,1198.68,1.587142857
Linseed,2005,Rabi       ,Karnataka,13154,4384,1577427.68,2762.34,0.316666667
Maize,2005,Kharif     ,Karnataka,842243,2486900,101001780.6,176871.03,3.1212
Maize,2005,Rabi       ,Karnataka,81621,282618,9787990.32,17140.41,3.341304348
Maize,2005,Summer     ,Karnataka,11990,37005,1437840.8,2517.9,3.096666667
Mesta,2005,Whole Year ,Karnataka,2097,2662,251472.24,440.37,1.568
Moong(Green Gram),2005,Kharif     ,Karnataka,393240,96325,47157340.8,82580.4,0.242173913
Moong(Green Gram),2005,Rabi       ,Karnataka,7658,2255,918347.36,1608.18,0.29125
Niger seed,2005,Kharif     ,Karnataka,33184,6366,3979425.28,6968.64,0.212173913
Onion,2005,Kharif     ,Karnataka,136344,759619,16350372.48,28632.24,6.543913043
Onion,2005,Rabi       ,Karnataka,10900,112992,1307128,2289,10.36952381
Onion,2005,Summer     ,Karnataka,4075,67545,488674,855.75,16.31842105
Other  Rabi pulses,2005,Rabi       ,Karnataka,29137,3475,3494109.04,6118.77,0.118888889
Other Kharif pulses,2005,Kharif     ,Karnataka,151868,49236,18212010.56,31892.28,0.279583333
Peas & beans (Pulses),2005,Kharif     ,Karnataka,4174,25514,500546.08,876.54,5.612105263
Peas & beans (Pulses),2005,Rabi       ,Karnataka,686,4824,82265.12,144.06,7.193333333
Peas & beans (Pulses),2005,Summer     ,Karnataka,525,2655,62958,110.25,5.036875
Potato,2005,Kharif     ,Karnataka,67623,226399,8109350.16,14200.83,3.381333333
Potato,2005,Rabi       ,Karnataka,5416,97924,649486.72,1137.36,17.84
Potato,2005,Summer     ,Karnataka,317,5078,38014.64,66.57,15.45
Ragi,2005,Kharif     ,Karnataka,883984,1551359,106007361.3,185636.64,1.4915
Ragi,2005,Rabi       ,Karnataka,46323,86771,5555054.16,9727.83,2.493076923
Ragi,2005,Summer     ,Karnataka,8323,18176,998094.16,1747.83,2.144285714
Rapeseed &Mustard,2005,Rabi       ,Karnataka,6739,1800,808140.88,1415.19,0.227142857
Rice,2005,Kharif     ,Karnataka,1075993,2770413,129033080.6,225958.53,2.50962963
Rice,2005,Rabi       ,Karnataka,44944,97483,5389684.48,9438.24,2.2675
Rice,2005,Summer     ,Karnataka,364244,1131350,43680140.48,76491.24,3.0144
Safflower,2005,Rabi       ,Karnataka,80945,61507,9706924.4,16998.45,0.694375
Sannhamp,2005,Whole Year ,Karnataka,205,46,24583.6,43.05,0.215
Sesamum,2005,Kharif     ,Karnataka,102862,89097,12335211.04,21601.02,0.879615385
Small millets,2005,Kharif     ,Karnataka,52273,26918,6268578.16,10977.33,0.5485
Soyabean,2005,Kharif     ,Karnataka,133445,74802,16002724.4,28023.45,0.556666667
Sugarcane,2005,Whole Year ,Karnataka,221462,19647650,26557723.04,46507.02,90.63772727
Sunflower,2005,Kharif     ,Karnataka,661178,273972,79288465.76,138847.38,0.5125
Sunflower,2005,Rabi       ,Karnataka,722784,359821,86676257.28,151784.64,0.8724
Sunflower,2005,Summer     ,Karnataka,43473,33718,5213282.16,9129.33,0.829047619
Sweet potato,2005,Whole Year ,Karnataka,3356,27360,402451.52,704.76,6.076153846
Tapioca,2005,Whole Year ,Karnataka,841,6993,100852.72,176.61,9.59
Tobacco,2005,Whole Year ,Karnataka,100798,63879,12087696.16,21167.58,0.646
Turmeric,2005,Whole Year ,Karnataka,6346,33891,761012.32,1332.66,5.556363636
Urad,2005,Kharif     ,Karnataka,100773,19710,12084698.16,21162.33,0.19
Urad,2005,Rabi       ,Karnataka,10445,5001,1252564.4,2193.45,0.473333333
Wheat,2005,Rabi       ,Karnataka,252588,226369,30290352.96,53043.48,0.880714286
Arecanut,2005,Whole Year ,Kerala,108590,119309,13022112.8,22803.9,0.958571429
Banana,2005,Whole Year ,Kerala,61400,491823,7363088,12894,8.060714286
Black pepper,2005,Whole Year ,Kerala,237998,87605,28540720.16,49979.58,0.239285714
Cardamom,2005,Whole Year ,Kerala,41367,9765,4960730.64,8687.07,0.065
Cashewnut,2005,Whole Year ,Kerala,78285,68262,9387937.2,16439.85,0.621428571
Coconut ,2005,Whole Year ,Kerala,897833,6326000000,107668133.4,188544.93,6500.859286
Cotton(lint),2005,Kharif     ,Kerala,2655,3452,318387.6,557.55,1.3
Garlic,2005,Whole Year ,Kerala,65,1105,7794.8,13.65,17
Ginger,2005,Whole Year ,Kerala,12226,56288,1466141.92,2567.46,3.258571429
Groundnut,2005,Kharif     ,Kerala,3299,2441,395616.08,692.79,0.74
Jowar,2005,Kharif     ,Kerala,2450,1248,293804,514.5,0.2525
Other Cereals,2005,Kharif     ,Kerala,11,21,1319.12,2.31,1.91
Ragi,2005,Kharif     ,Kerala,414,335,49646.88,86.94,0.81
Rice,2005,Autumn     ,Kerala,98256,212520,11782859.52,20633.76,2.096923077
Rice,2005,Summer     ,Kerala,21857,59733,2621091.44,4589.97,2.345714286
Rice,2005,Winter     ,Kerala,155629,357734,18663029.68,32682.09,2.189285714
Sesamum,2005,Kharif     ,Kerala,600,210,71952,126,0.314545455
Sugarcane,2005,Whole Year ,Kerala,1222,91650,146542.24,256.62,66.14538462
Sweet potato,2005,Whole Year ,Kerala,711,9013,85263.12,149.31,11.48692308
Tapioca,2005,Whole Year ,Kerala,90539,2568284,10857436.88,19013.19,28.00928571
Tobacco,2005,Whole Year ,Kerala,43,69,5156.56,9.03,1.6
Turmeric,2005,Whole Year ,Kerala,3384,8237,405809.28,710.64,2.211428571
Arecanut,2005,Whole Year ,Meghalaya,11507,15530,1379919.44,2416.47,1.245714286
Arhar/Tur,2005,Kharif     ,Meghalaya,804,633,96415.68,168.84,0.796666667
Banana,2005,Whole Year ,Meghalaya,6426,71695,770605.92,1349.46,10.22428571
Castor seed,2005,Kharif     ,Meghalaya,33,21,3957.36,6.93,0.693333333
Cotton(lint),2005,Kharif     ,Meghalaya,7231,7768,867141.52,1518.51,1.046666667
Dry chillies,2005,Whole Year ,Meghalaya,1861,1267,223171.12,390.81,0.8
Ginger,2005,Kharif     ,Meghalaya,9625,53609,1154230,2021.25,6.558571429
Gram,2005,Rabi       ,Meghalaya,523,325,62718.16,109.83,0.6
Jute,2005,Kharif     ,Meghalaya,4017,35499,481718.64,843.57,7.11
Linseed,2005,Rabi       ,Meghalaya,78,37,9353.76,16.38,0.47
Maize,2005,Kharif     ,Meghalaya,16898,24424,2026408.16,3548.58,1.481428571
Mesta,2005,Kharif     ,Meghalaya,4436,20212,531965.12,931.56,4.563333333
Other  Rabi pulses,2005,Rabi       ,Meghalaya,2163,1713,259386.96,454.23,0.775714286
Potato,2005,Whole Year ,Meghalaya,17986,167030,2156881.12,3777.06,7.768571429
Rapeseed &Mustard,2005,Rabi       ,Meghalaya,7196,4759,862944.32,1511.16,0.62
Rice,2005,Autumn     ,Meghalaya,32678,43762,3918745.76,6862.38,1.597142857
Rice,2005,Summer     ,Meghalaya,9791,39910,1174136.72,2056.11,2.245
Rice,2005,Winter     ,Meghalaya,63602,124605,7627151.84,13356.42,1.971428571
Sesamum,2005,Kharif     ,Meghalaya,1627,868,195109.84,341.67,0.578333333
Small millets,2005,Kharif     ,Meghalaya,2670,2272,320186.4,560.7,0.955714286
Sugarcane,2005,Whole Year ,Meghalaya,80,219,9593.6,16.8,2.342
Sweet potato,2005,Whole Year ,Meghalaya,4975,16270,596602,1044.75,3.391428571
Tapioca,2005,Whole Year ,Meghalaya,3989,20841,478360.88,837.69,6.392857143
Tobacco,2005,Whole Year ,Meghalaya,721,475,86462.32,151.41,0.562
Turmeric,2005,Whole Year ,Meghalaya,1817,10508,217894.64,381.57,5.621428571
Wheat,2005,Rabi       ,Meghalaya,670,1198,80346.4,140.7,1.306666667
Arecanut,2005,Whole Year ,Tamil Nadu,4773,9198,572378.16,1002.33,1.212727273
Arhar/Tur,2005,Kharif     ,Tamil Nadu,37769,20400,4529258.48,7931.49,0.6375
Bajra,2005,Kharif     ,Tamil Nadu,81925,94799,9824446,17204.25,1.3144
Banana,2005,Whole Year ,Tamil Nadu,94648,4647635,11350188.16,19876.08,48.51965517
Black pepper,2005,Whole Year ,Tamil Nadu,3745,851,449100.4,786.45,0.173076923
Cardamom,2005,Whole Year ,Tamil Nadu,4887,448,586049.04,1026.27,0.072727273
Cashewnut,2005,Whole Year ,Tamil Nadu,106059,43856,12718595.28,22272.39,0.368571429
Castor seed,2005,Kharif     ,Tamil Nadu,8391,2777,1006248.72,1762.11,0.313333333
Coconut ,2005,Whole Year ,Tamil Nadu,370515,4867100000,44432158.8,77808.15,11777.93172
Coriander,2005,Whole Year ,Tamil Nadu,21062,6424,2525755.04,4423.02,0.296956522
Cotton(lint),2005,Kharif     ,Tamil Nadu,109742,168154,13160260.64,23045.82,1.643703704
Dry chillies,2005,Whole Year ,Tamil Nadu,49033,31830,5880037.36,10296.93,0.797241379
Garlic,2005,Whole Year ,Tamil Nadu,428,2561,51325.76,89.88,5.854
Ginger,2005,Kharif     ,Tamil Nadu,660,12735,79147.2,138.6,19.31714286
Gram,2005,Rabi       ,Tamil Nadu,5907,4007,708367.44,1240.47,0.493125
Groundnut,2005,Kharif     ,Tamil Nadu,618835,1097592,74210693.2,129955.35,1.91
Horse-gram,2005,Kharif     ,Tamil Nadu,60415,22023,7244966.8,12687.15,0.3724
Jowar,2005,Kharif     ,Tamil Nadu,316274,231449,37927578.08,66417.54,0.897083333
Maize,2005,Kharif     ,Tamil Nadu,202830,0,24323373.6,42594.3,0
Mesta,2005,Kharif     ,Tamil Nadu,1,0,119.92,0.21,0
Moong(Green Gram),2005,Kharif     ,Tamil Nadu,136699,45881,16392944.08,28706.79,0.383571429
Niger seed,2005,Kharif     ,Tamil Nadu,638,0,76508.96,133.98,0
Onion,2005,Whole Year ,Tamil Nadu,29169,233796,3497946.48,6125.49,8.07826087
Other Kharif pulses,2005,Kharif     ,Tamil Nadu,68999,21356,8274360.08,14489.79,0.366923077
Potato,2005,Whole Year ,Tamil Nadu,5005,74593,600199.6,1051.05,15.32
Ragi,2005,Kharif     ,Tamil Nadu,99549,132172,11937916.08,20905.29,1.621923077
Rapeseed &Mustard,2005,Rabi       ,Tamil Nadu,528,130,63317.76,110.88,0.25
Rice,2005,Kharif     ,Tamil Nadu,2050455,5209433,245890563.6,430595.55,2.895517241
Sannhamp,2005,Kharif     ,Tamil Nadu,10,0,1199.2,2.1,0
Sesamum,2005,Kharif     ,Tamil Nadu,65118,30772,7808950.56,13674.78,0.414444444
Small millets,2005,Kharif     ,Tamil Nadu,40366,30071,4840690.72,8476.86,0.77375
Soyabean,2005,Kharif     ,Tamil Nadu,630,0,75549.6,132.3,0
Sugarcane,2005,Whole Year ,Tamil Nadu,335397,35113269,40220808.24,70433.37,102.4842857
Sunflower,2005,Kharif     ,Tamil Nadu,17056,21148,2045355.52,3581.76,1.18037037
Sweet potato,2005,Whole Year ,Tamil Nadu,1417,29555,169926.64,297.57,20.8868
